Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
434,"Mat Cauthon, Lord of Luck",{1}{B}{R},Legendary Creature — Human Rogue,3/2,Rare,RB,"Whenever Mat attacks, each opponent reveals the top card of their library. Mat gets +1/+1 for each black card revealed. Whenever you cast a spell, you may pay {R}: Draw a card, then discard a card.",Luck is his greatest weapon.,,"Legendary,Luck,Draw",Man surrounded by flowing luck and coins,"Charming, fortunate",Legendary/Luck
435,"Mat Cauthon, Prince of Ravens",{1}{B}{R},Legendary Creature — Human Rogue,4/2,Rare,RB,"Whenever Mat attacks, you may flip a coin. If heads, create a Treasure token. If tails, target opponent discards a card. {R}{B}: Mat gets +1/+1 until end of turn.",A crown of ravens for a man of luck.,,"Legendary,Luck,Token,Discard",Man surrounded by luck and ravens,"Charming, fortunate",Rare/Rogue
436,"Mazrim Taim, Lord of the Black Tower",{2}{B}{R},Legendary Creature — Human Asha'man,4/3,Rare,RB,"Menace. Whenever Mazrim Taim attacks, each opponent loses 2 life. Asha'man you control get +1/+0.",Madness and power combined.,,"Legendary,Male,Asha'man,Burn",Man radiating wild magical power and madness,"Dangerous, mad",Rare/Asha'man
437,"Mesaana, Hidden in the Tower",{2}{U}{B},Legendary Creature — Forsaken Channeler,3/3,Rare,UB,"Mesaana can't be blocked. Whenever Mesaana deals combat damage to a player, look at that player's hand and exile a card from it. They may play that card for as long as it remains exiled... until Mesaana leaves the battlefield.",,,"Forsaken,Control","Mesaana, Hidden in the Tower — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Forsaken
438,"Moghedien, The Shadow's Weaver",{2}{U}{B},Legendary Creature — Forsaken,3/3,Mythic,UB,"Moghedien can't be blocked as long as you control another creature. Whenever Moghedien deals combat damage, draw a card, then discard a card. {U}{B}: Moghedien can't be blocked until end of turn.",Even the greatest weavers cast shadows.,,"Legendary,Forsaken,Female,Evasion,Draw",Woman weaving dark threads in shadows,"Mysterious, elusive",Mythic/Forsaken
439,"Moridin, The Nae'blis",{2}{U}{B}{R},Legendary Creature — Forsaken,6/6,Mythic,UBR,"Menace, haste. Whenever Moridin deals combat damage to a player, put that many soul counters on him. At the beginning of your upkeep, if Moridin has ten or more soul counters, you win the game. {U}{B}{R}: Moridin gains hexproof until end of turn.","The Nae'blis, highest of the Chosen.","Menace, Haste","WinCon,Forsaken",Cosmic entity of ultimate darkness and power,"Apocalyptic, supreme",Mythic/Forsaken
440,Mystic Confluence,{1}{U}{G},Sorcery,,Rare,UG,Choose two: Draw a card; or Search your library for a land and put it onto the battlefield tapped; or Create a 1/1 green Wolf token.,Where knowledge meets nature.,,"Draw,Ramp,Token,Wolf",,,
441,"Nynaeve al'Meara, Wisdom",{1}{G}{U},Legendary Creature — Human Aes Sedai,2/3,Rare,GU,"{G}, {T}: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {U}, {T}: You gain 2 life and draw a card. Weave.",Her skill with the One Power knew no bounds.,,"Legendary,Female,Tutor,Draw",Wise woman with commanding presence,"Skilled, powerful",Legendary/Female
442,"Pedron Niall, Lord Captain Commander",{2}{W}{B},Legendary Creature — Human Whitecloak Noble,2/4,Rare,WB,"Other Whitecloaks you control get +1/+0. Whenever one or more Whitecloaks you control deal combat damage to a player, you draw a card and that player loses 1 life.","A thousand threads, and every one of them pulled from Amador.",,"Whitecloak,Advantage","Pedron Niall, Lord Captain Commander — Human Whitecloak Noble from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
443,"Perrin Aybara, Wolfbrother",{1}{W}{G},Legendary Creature — Human Warrior,3/2,Rare,GW,"Whenever a Wolf or creature enters under your control, put a +1/+1 counter on Perrin. {G}{W}: Create a 1/1 green Wolf token with haste. Other creatures you control are Wolves in addition to their other types.",I am not a beast—but the wolves are part of me.,,"Legendary,Wolf,Synergy","Man with wolf-like features, surrounded by pack","Connected, primal",Legendary/Wolf
444,Purge the Shadow,{2}{W}{B},Sorcery,,Uncommon,WB,"Destroy target creature. If it was a Channeler, you gain 3 life. Otherwise, you lose 2 life.",The Children's justice does not always wait for proof.,,"Whitecloak,Removal,Anathema",Purge the Shadow — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
445,"Rahvin, Compeller of Queens",{2}{U}{B},Legendary Creature — Forsaken Channeler,3/4,Rare,UB,"When Rahvin enters, leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) Leashed creatures you control get +1/+0.","Why conquer a throne when its queen will simply hand it to you, smiling?",,"Leash,Forsaken","Rahvin, Compeller of Queens — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Leash
446,"Rand al'Thor, Shepherd of Emond's Field // Rand al'Thor, the Dragon Reborn",{1}{W}{R},Legendary Creature — Human Channeler // Legendary Creature — Human Channeler Avatar,2/2 // 5/5,Mythic,WR,"Whenever you weave, put a power counter on Rand al'Thor. {W}{R}: Weave. Then if Rand al'Thor has three or more power counters, transform him. ---- Flying, lifelink. Whenever you weave, create a 2/2 red Dragon creature token. {W}{R}{W}{R}: Rand al'Thor deals 2 damage to each opponent.",The Wheel weaves as the Wheel wills. // 'I am the Dragon Reborn.',,"Weaving,Transform,Token",Man channeling immense red and white magical power,"Intense, central",Legendary/Dragon
447,"Rhadam Asunawa, High Inquisitor",{1}{W}{B},Legendary Creature — Human Whitecloak Cleric,1/4,Uncommon,WB,"{1}{W}{B}, {T}: Target opponent reveals their hand. You choose a nonland card from it. That player discards that card unless they pay 3 life.",The Question is never asked twice. There is rarely anyone left to ask.,,"Whitecloak,Discard","Rhadam Asunawa, High Inquisitor — Human Whitecloak Cleric from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
448,"Rhuarc, Aiel Clan Chief",{1}{R}{G},Legendary Creature — Aiel Warrior,3/3,Rare,RG,"Rhuarc gets +1/+1 for each other creature you control. {R}{G}: Create a 1/1 red Aiel Warrior token with haste. Whenever Rhuarc deals combat damage, put a +1/+1 counter on target creature.",The spear is the highest calling.,,"Legendary,Aiel,Synergy,Token",Lean warrior with distinctive Aiel clothing,"Fierce, respected",Legendary/Aiel
449,Sacrifice for Power,{B}{R},Sorcery,,Uncommon,BR,Sacrifice a creature. Create a 2/2 black Shadowspawn token. It gains haste.,The Shadow feeds on sacrifice.,,"Sacrifice,Token,Haste",,,
450,Seanchan Damane,{2}{U}{B},Creature — Human Damane,2/3,Uncommon,UB,"When Seanchan Damane enters, leash target creature an opponent controls. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",Collared and controlled.,,"Leash,Channeler",Woman with magical leash around neck,"Enslaved, tragic",Leash/Seanchan
451,Seanchan Enslaver,{2}{U}{B},Creature — Human Damane Master,3/2,Uncommon,UB,"Whenever you leash a creature, create a 1/1 blue Damane creature token and you weave.",The Seanchan way is absolute.,,"Leash,Weaving,Token",Figure controlling Damane with leash,"Dominating, imperial",Seanchan/Leash
452,Seanchan Invasion,{2}{W}{B},Sorcery,,Rare,WB,Create a 2/2 white Soldier token. You gain control of target creature until end of turn. That creature can't attack its owner.,All must kneel to the Seanchan.,,"Token,Soldier,Control",,,
453,Seanchan Overlord,{3}{W}{B},Creature — Human Noble,4/3,Rare,WB,"When Seanchan Overlord enters, leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) {W}{B}: Create a 2/2 white Soldier creature token.",The Seanchan command is absolute.,,"Leash,Token",,,
454,"Semirhage, Pain Given Form",{3}{B}{R},Legendary Creature — Forsaken Avatar,5/4,Rare,BR,"Menace. Whenever you cast a black or red spell, each opponent loses 1 life. {B}{R}: Semirhage gains indestructible until end of turn. {2}{B}{R}: Create a 1/1 black Shadowspawn token.",Torture is an art like any other.,Menace,"Legendary,Forsaken,Drain,Shadowspawn",Woman shrouded in painful magical aura,"Cruel, intense",Legendary/Forsaken
455,"Sevanna, Grasping Wise One",{1}{R}{G},Legendary Creature — Aiel Wise One,2/3,Uncommon,RG,"Whenever another creature you control dies, put a +1/+1 counter on Sevanna.","She wants what the Wise Ones have, what the wetlanders have, what everyone has.",,Counters,"Sevanna, Grasping Wise One — Aiel Wise One from the Wheel of Time","Painterly fantasy, dramatic light",Counters
456,"Shaidar Haran, The Hand",{3}{B}{R},Legendary Creature — Forsaken Avatar,5/4,Rare,BR,"Menace. Whenever you leash a creature, Shaidar Haran gets +2/+0 until end of turn. Whenever a creature you control dies, create a 1/1 black Trolloc token. {B}{R}: Shaidar Haran gets +1/+0 until end of turn.",The Dark One's right hand.,Menace,"Legendary,Forsaken,Leash,Trolloc",Massive shadow figure with immense dark aura,"Dominant, fearsome",Legendary/Forsaken
457,Shaitan's Shadow,{5}{U}{B}{R},Creature — Forsaken Avatar,7/7,Mythic,UBR,"Menace, haste. Shaitan's Shadow can't be blocked. Whenever Shaitan's Shadow attacks, you gain control of target creature until end of turn. Each opponent loses 3 life.",The Dark One's essence made flesh.,"Menace, Haste","Forsaken,Shaitan,Control,Drain,Evasion",,,
458,"Siuan Sanche, Amyrlin Deposed",{1}{W}{U},Legendary Creature — Human Aes Sedai,2/3,Rare,WU,"Aes Sedai spells you cast cost {1} less to cast. {W}{U}, {T}: Draw a card, then discard a card. Weave.","Stilled, deposed, and hunted — and still playing the game better than the living.",,"Weaving,Channeler,CostReduction","Siuan Sanche, Amyrlin Deposed — Human Aes Sedai from the Wheel of Time","Painterly fantasy, dramatic light",Weaving
459,"Slayer, Isam and Luc",{1}{B}{G},Legendary Creature — Human Assassin,3/2,Rare,BG,"Deathtouch. When Slayer enters, destroy target Wolf or Spirit. {1}{B}: Return Slayer to his owner's hand. (He steps in and out of the dream.)","Two men, one killer, and no soul to spare between them.",Deathtouch,Removal,"Slayer, Isam and Luc — Human Assassin from the Wheel of Time","Painterly fantasy, dramatic light",Removal
460,Stalemate,{2}{W}{U},Enchantment,,Uncommon,UW,Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.,All moves are calculated.,,"Control,Synergy",,,
461,Stasis Field,{1}{W}{U},Enchantment,,Uncommon,UW,"Whenever a creature enters, Stasis Field gains a stasis counter. {U}{W}: Target creature doesn't untap during its controller's next untap step.",All things must be still.,,"Control,Synergy",,,
462,Tarmon Gai'don,{4}{B}{R},Sorcery,,Mythic,BR,"Destroy all creatures. For each creature destroyed this way, its controller loses 1 life.","The Last Battle is not a battle for a city, a nation, an age. It is for everything.",,Wipe,Tarmon Gai'don — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Wipe
463,"Tesha'an, Wise One of the Shaido",{1}{G}{W},Legendary Creature — Aiel Wise One,3/4,Rare,GW,"Whenever you cast a creature spell, put a +1/+1 counter on target creature. {G}{W}: Create a 1/1 green Aiel creature token.",The Wise Ones guide their people.,,"Legendary,Aiel,Female,Synergy,Token",Aiel woman radiating authority and wisdom,"Wise, powerful",Rare/Aiel
464,The Cleansing of Saidin,{3}{W}{W},Sorcery,,Mythic,WU,Exile all Auras attached to creatures you control and all black enchantments. Put two +1/+1 counters on each Asha'man you control. Weave three times.,"Rand channeled at Shadar Logoth, and the taint that broke Lews Therin was burned away.",,"Weaving,Cleanse",The Cleansing of Saidin — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
465,"The Dark One, Shaitan",{3}{U}{B}{R},Legendary Creature — Forsaken Avatar,8/8,Mythic,UBR,"Menace, trample. Whenever you weave, leash a creature, or cast a black spell, put a power counter on The Dark One. {U}{B}{R}: Create a 2/2 black Shadowspawn creature token. At the beginning of your upkeep, if The Dark One has ten or more power counters, you win the game.",The Dark One breaks all bonds and remakes the world.,"Menace, Trample","WinCon,Leash,Weaving","Cosmic darkness given form, consuming all","Apocalyptic, ultimate",Mythic/Shaitan
466,The Karaethon Cycle,{1}{W}{U},Enchantment — Saga,,Uncommon,WU,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Scry 2. II — Weave twice. III — Search your library for a Channeler card, reveal it, put it into your hand, then shuffle.","The Prophecies of the Dragon, foretold and fulfilled.",,"Saga,Weaving",The Karaethon Cycle — Saga from the Wheel of Time,"Painterly fantasy, dramatic light",Saga
467,The Wheel Turns,{3}{W}{U},Sorcery,,Mythic,WUBRG,Each player shuffles their graveyard into their library. You draw three cards. Weave three times.,There are neither beginnings nor endings to the turning of the Wheel of Time.,,"Token,Synergy,Multi-color",,,
468,The Wheel Turns Again,{W}{U}{B}{R}{G},Sorcery,,Mythic,WUBRG,"Create a 5/5 colorless Construct creature token. Search your library for a card, put it into your hand, then shuffle. Then if you've woven ten or more times and you control a creature of each color, you win the game.","The Wheel weaves as the Wheel wills, and all threads return.",,"WinCon,Weaving,Tutor",,,
469,"Thom Merrilin, The Gleeman",{1}{U}{R},Legendary Creature — Human Bard,2/3,Rare,UR,"When Thom enters, draw a card. {U}{R}, {T}: Draw a card, then discard a card. Thom can't be blocked except by creatures with flying. Whenever you cast a spell, Thom gets +1/+0 until end of turn.",The gleeman knows all tales.,,"Legendary,Evasion,Draw",Colorful performer with musical instruments,"Mysterious, worldly",Legendary/Draw
470,Tower's Protection,{1}{W}{U},Sorcery,,Uncommon,WU,Create a 1/1 white Aes Sedai token. All creatures you control get +1/+1 and lifelink until end of turn.,The Tower protects its own.,,"Token,Aes Sedai,Pump,Lifelink",,,
471,"Tuon Athaem, Daughter of the Nine Moons",{1}{W}{B},Legendary Creature — Human Noble,2/3,Rare,WB,"Damane you control get +1/+1. {W}{B}, {T}: Leash target creature with mana value 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",All must serve.,,"Leash,Seanchan","Exotic woman in Seanchan finery, authoritative","Commanding, imperial",Rare/Seanchan
472,"Verin Mathwin, Keeper of Secrets",{1}{U}{G},Legendary Creature — Human Aes Sedai,2/3,Uncommon,GU,"Verin has deathtouch. {G}{U}: Verin gains hexproof until end of turn. Whenever a creature dies, draw a card.",Even the largest secrets fit between the lines.,Deathtouch,"Legendary,Female,Secrets,Draw",Quiet woman with knowing smile and secret knowledge,"Mysterious, protective",Rare/Female
473,War Council,{2}{W}{R},Enchantment,,Uncommon,WR,"Whenever you cast a creature spell, it gains first strike until end of turn. Whenever a creature enters with first strike, you gain 1 life.",War is planned in detail.,,"Synergy,First Strike,Gain Life",,,
474,Warder's Oath,{1}{W}{G},Sorcery,,Uncommon,WG,Create a 2/2 white Soldier creature token and a 2/2 green Wolf creature token. Creatures you control get +0/+1 until end of turn.,The bond is eternal.,,"Token,Aes Sedai,Wise One,Warder",,,
475,Weaving Reality,{W}{U},Sorcery,,Uncommon,UW,Weave twice. Create a 2/2 blue Aes Sedai token.,The Pattern is rewoven.,,"Weaving,Token,Aes Sedai",,,
476,Whitecloak Inquisitor,{1}{W}{B},Creature — Human Whitecloak Cleric,2/2,Uncommon,WB,"When Whitecloak Inquisitor enters, target opponent reveals their hand. If they control a Channeler or reveal a Channeler card this way, they discard a card and lose 2 life.",Everyone confesses eventually.,,"Whitecloak,Anathema,Discard",Whitecloak Inquisitor — Human Whitecloak Cleric from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
477,Wise One's Blessing,{W}{G},Instant,,Uncommon,GW,"Target creature gets +2/+2 and lifelink until end of turn. If a creature is a Wise One, it gets +3/+3 instead.",The Wise Ones' favor is profound.,,"Wise One,Pump",,,
478,A'dam Collar,{2},Artifact — Equipment,,Uncommon,C,"Equipped creature has ""{T}: Leash target creature with mana value 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)"" Equip {2}. Equip Sul'dam {0}.",Control made manifest.,Equipment,"Leash,Equipment",,,
479,Aes Sedai Oath,{2},Artifact,,Uncommon,C,Aes Sedai you control get +0/+2. Pattern 3 — They also have vigilance.,The Oaths bind forever.,,"Weaving,Anthem",,,
480,Aes Sedai Ring,{2},Artifact,,Rare,C,"{T}: Add {W} or {U}. Whenever you weave, put a knowledge counter on Aes Sedai Ring. {W}{U}, {T}, Remove three knowledge counters from it: Search your library for a Channeler card, reveal it, put it into your hand, then shuffle.",The mark of an Aes Sedai's station.,,"Weaving,Tutor",Ornate ring with Tower seal,"Prestigious, scholarly",Artifact/Weaving
481,Angreal Fragment,{2},Artifact,,Common,C,"{T}: Add {C}. If you control a Channeler, add one mana of any color instead.",,,Ramp,Angreal Fragment — Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Ramp
482,Asha'man Talisman,{2},Artifact,,Uncommon,C,"{T}: Add {R}. Whenever you cast a red spell, weave. This ability triggers only once each turn.",Black Tower's mark of power.,,"Weaving,Ramp",,,
483,Ashandarei,{3},Legendary Artifact — Equipment,,Rare,C,Equipped creature gets +2/+1 and has reach and first strike. Equip {2},'Thus is our treaty written; thus is agreement made.',,Equipment,Ashandarei — Equipment from the Wheel of Time,"Painterly fantasy, dramatic light",Equipment
484,Bowl of the Winds,{3},Legendary Artifact,,Rare,C,"{2}, {T}: Tap up to three target creatures. Weave twice.",The weather itself bent to the Windfinders' circle.,,"Weaving,Tempo",Bowl of the Winds — Legendary Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
485,Caemlyn's Heart,{3},Artifact,,Uncommon,C,"At the beginning of your end step, if you control three or more Soldiers, create a 1/1 white Soldier creature token.",The city's lifeblood flows eternal.,,Token,,,
486,"Callandor, Sword of Light",{3},Legendary Artifact,,Mythic,C,Form the Circle — Tap two untapped Aes Sedai you control and an untapped Asha'man you control: Choose one — • Create a 3/3 red Dragon creature token with flying. • Draw two cards. • Callandor deals 5 damage to any target. Activate only as a sorcery.,"The Sword That Is Not a Sword, drawn only by three joined as one.",,"Callandor,Circle","Gleaming sword of crystal and light, surrounded by three figures","Legendary, powerful, complex",Artifact/Legendary
487,Corrupted Stone,{2},Artifact,,Uncommon,C,"{T}: Add {B}. Whenever you leash a creature, put a taint counter on Corrupted Stone. {B}{B}, {T}, Remove two taint counters from it: Create a 2/2 black Shadowspawn creature token.",A stone twisted by the Shadow's reach.,,"Leash,Token",Dark stone pulsing with black corruption,"Sinister, corrupting",Artifact/Leash
488,Cuendillar Guardian,{4},Artifact Creature — Construct,3/5,Rare,C,Cuendillar Guardian has indestructible as long as it's untapped.,Heartstone endures what the Ages cannot.,Indestructible,Defense,Cuendillar Guardian — Construct from the Wheel of Time,"Painterly fantasy, dramatic light",Defense
489,Forsaken's Grimoire,{3},Artifact,,Rare,C,"{T}: Add {B}. Whenever you leash a creature, target opponent discards a card.",Ancient dark knowledge preserved.,,"Leash,Discard",,,
490,Gambler's Dice,{1},Artifact,,Uncommon,C,"{T}: Flip a coin. If you win the flip, draw a card, then discard a card. If you lose, weave.",The dice always tumble in Mat's head before something happens. Usually something bad.,,"Weaving,Luck",Gambler's Dice — Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
491,Healing Salves,{1},Artifact,,Common,C,"{2}, {T}: You gain 3 life. Pattern 3 — This ability costs {1} less to activate.",Strength from the land itself.,,Lifegain,,,
492,Heartstone Relic,{3},Artifact,,Uncommon,C,Cuendillar — Heartstone Relic has indestructible. {T}: Add one mana of any color.,"What the One Power touches, cuendillar makes stronger.",,Ramp,"Solid stone artifact, unbreakable","Eternal, strong",Artifact/Protection
493,Mana Stone,{2},Artifact,,Common,C,"{T}: Add {C}. {4}, {T}: Add one mana of any color. Spend this mana only to cast Channeler spells or activate abilities of Channelers.",Power captured in crystal form.,,Ramp,Glowing crystalline stone,"Magical, mystical",Artifact/Mana
494,Mat's Foxhead Medallion,{2},Legendary Artifact — Equipment,,Rare,C,Equipped creature has hexproof and can't be dealt damage by Channelers. Equip {1},"A gift of the Eelfinn, and the bane of every channeler who meets its bearer.",,"Equipment,Protection",Mat's Foxhead Medallion — Equipment from the Wheel of Time,"Painterly fantasy, dramatic light",Equipment
495,Mat's Perfect Hand,{4},Artifact,N/A,Mythic,C,"When Mat's Perfect Hand enters, reveal the top five cards of your library. Put any number of legendary cards from among them into your hand and the rest on the bottom of your library in a random order. At the beginning of your upkeep, if you control five or more legendary creatures and there are five colors among legendary creatures you control, you win the game.",Five suits. Five rulers. The dice in his head went silent.,,"Legendary,WinCon","A fan of five ornate playing cards laid on a table in the Stone of Tear, each painted with a crowned ruler, coins and dice scattered around them","Warm candlelit tavern scene, painterly",Legendary
496,Portal Stone,{3},Artifact,,Rare,C,"Whenever a creature you control enters, put a journey counter on Portal Stone. {2}, {T}, Remove three journey counters from it: Exile target creature you control, then return it to the battlefield under its controller's control.","Symbols worn smooth by Ages, doors to worlds that might have been.",,"Blink,Counters",,,
497,Portal-Stone Watcher,{3},Artifact Creature — Construct,2/3,Uncommon,C,"When Portal-Stone Watcher enters, scry 2.",,,Scry,Portal-Stone Watcher — Construct from the Wheel of Time,"Painterly fantasy, dramatic light",Scry
498,Power Conduit,{3},Artifact,,Uncommon,C,{T}: Add {C}{C}. Spend this mana only to cast Channeler spells or activate abilities of Channelers.,Channeling power into substance.,,Ramp,Artifact humming with magical energy,"Energetic, powerful",Artifact/Mana
499,Seal of the Dark One,{2},Artifact,,Rare,C,"Whenever you leash a creature or cast a black spell, put a seal counter on Seal of the Dark One. {B}{R}, Remove three seal counters from it: Create a 3/3 black Shadowspawn creature token with menace.",The seals weaken.,,"Bore,Leash,Token",,,
500,Shadar Logoth Dagger,{2},Artifact — Equipment,,Uncommon,C,"Equipped creature gets +2/+0 and has deathtouch. Whenever equipped creature deals combat damage to a player, that player loses 2 life and you lose 1 life. Equip {2}",Everything in Shadar Logoth is tainted. Everything.,"Deathtouch,Equipment",Equipment,"Ornate dagger with ruby hilt, dark aura","Elegant, tainted",Equipment/Deathtouch
501,Sunburst Banner,{2},Artifact,,Uncommon,C,Whitecloaks you control get +1/+0. {T}: Add {W} or {B}.,,,"Whitecloak,Ramp",Sunburst Banner — Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
502,Ter'angreal Curio,{2},Artifact,,Common,C,"When Ter'angreal Curio enters, scry 1. {T}: Add {C}.",,,"Ramp,Scry",Ter'angreal Curio — Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Ramp
503,The Choedan Kal,{5},Legendary Artifact,,Mythic,C,{T}: Add {C}{C}{C}. Spend this mana only to cast Channeler spells or activate their abilities. {T}: Weave three times. Activate only during your turn.,Power enough to break the world. Again.,,"Weaving,Ramp",The Choedan Kal — Legendary Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
504,The Dragon Banner,{3},Legendary Artifact,,Rare,C,"Legendary creatures you control get +1/+1. At the beginning of combat on your turn, target creature you control gets +1/+0 until end of turn.",,,Anthem,The Dragon Banner — Legendary Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Anthem
505,The Horn of Valere,{3},Legendary Artifact,,Mythic,C,"{2}, {T}: Create two 2/2 white Spirit Hero creature tokens with vigilance and lifelink. Activate only once each turn. (The Heroes of the Horn answer, whoever sounds it.)",The grave is no bar to my call.,,Token,The Horn of Valere — Legendary Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Token
506,The Oath Rod,{2},Legendary Artifact,,Rare,C,"{1}, {T}: Put an oath counter on target creature. Creatures with oath counters on them can't attack you or planeswalkers you control.",,,Defense,The Oath Rod — Legendary Artifact from the Wheel of Time,"Painterly fantasy, dramatic light",Defense
507,The One Power Lens,{2},Artifact,,Uncommon,C,"{T}: Draw a card, then discard a card. {3}{U}, {T}: Weave twice.",Focusing the One Power into visible form.,,"Weaving,Loot",Ornate lens refracting magical power,"Ethereal, powerful",Artifact/Draw
508,Tower Beacon,{2},Artifact,,Common,C,"{T}: Add {W}. Whenever you weave, put a beacon counter on Tower Beacon. {T}, Remove two beacon counters from it: Draw a card.",The Tower's light guides all.,,"Weaving,Draw",,,
509,Warder's Bond,{2},Artifact,,Uncommon,C,"{1}, {T}: Target Aes Sedai you control and target Warrior or Soldier you control each get +1/+1 and gain vigilance until end of turn.",A bond deeper than death itself.,,Combat,Glowing bond between two figures,"Deep, connected",Artifact/Bond
510,Warder's Sword,{2},Artifact — Equipment,,Uncommon,C,Equipped creature gets +1/+1 and has first strike. Equip {1},A Warder's greatest companion.,Equipment,Equipment,,,
511,Wheel of Time,{5},Legendary Artifact,,Mythic,C,"At the beginning of your upkeep, weave, then exile the top card of your library. You may play it this turn. {T}: Add one mana of any color.",All things turn upon the Wheel.,,"Weaving,Advantage",,,
512,Wise One's Totem,{2},Artifact,,Uncommon,C,"{T}: Add {G}. {3}{G}, {T}: Put a +1/+1 counter on each Wise One you control.",Natural power concentrated.,,Counters,,,
513,Black Ajah Sanctuary,,Legendary Land,,Rare,UB,"{T}: Add {U} or {B}. {2}{U}{B}, {T}: Leash target creature with mana value 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) Activate only as a sorcery.","In shadow, secrets are woven in silence.",,"Leash,Land",Dark library or shadowy chamber with blue-black magical essence,"Mysterious, sinister",Dual Land/Leash
514,Brown Ajah Archives,,Legendary Land,,Rare,GU,{T}: Add {G} or {U}. {3}{G}{U}: Search your library for a land card and put it onto the battlefield tapped. Shuffle.,"All knowledge preserved, waiting.",,Ramp,Ancient library with natural stone and blue magical preservation,"Scholarly, timeless",Dual Land/Ramp
515,Caemlyn Palace,,Legendary Land,,Rare,WR,{T}: Add {W} or {R}. {2}{W}{R}: Target Legendary creature gets +1/+1 and first strike until end of turn.,Where the Lion throne rules with mercy and strength.,,Legendary Focus,"Grand palace with golden stone and red accents, throne room visible","Regal, powerful",Dual Land/Legendary
516,Cold Rocks Hold,,Land,,Common,RG,Cold Rocks Hold enters tapped. {T}: Add {R} or {G}.,,,Land,Cold Rocks Hold — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
517,Ebou Dari Canals,,Land,,Common,UR,Ebou Dari Canals enters tapped. {T}: Add {U} or {R}.,,,Land,Ebou Dari Canals — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
518,Emond's Field Green,,Land,,Common,GW,Emond's Field Green enters tapped. {T}: Add {G} or {W}.,,,Land,Emond's Field Green — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
519,Fal Dara Keep,,Land,,Common,WR,Fal Dara Keep enters tapped. {T}: Add {R} or {W}.,,,Land,Fal Dara Keep — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
520,Falme Docks,,Land,,Common,UB,Falme Docks enters tapped. {T}: Add {U} or {B}.,,,Land,Falme Docks — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
521,Fortress of the Light,,Land,,Common,WB,Fortress of the Light enters tapped. {T}: Add {W} or {B}.,,,Land,Fortress of the Light — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
522,Port of Illian,,Land,,Common,GU,Port of Illian enters tapped. {T}: Add {G} or {U}.,,,Land,Port of Illian — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
523,"Rhuidean, City of Mists",,Legendary Land,,Rare,RG,"{T}: Add {R} or {G}. {3}, {T}: Put a +1/+1 counter on target Aiel you control.",,,"Land,Aiel","Rhuidean, City of Mists — Legendary Land from the Wheel of Time","Painterly fantasy, dramatic light",Land
524,Ruins of Shadar Logoth,,Land,,Common,BG,Ruins of Shadar Logoth enters tapped. {T}: Add {B} or {G}.,,,Land,Ruins of Shadar Logoth — Land from the Wheel of Time,"Painterly fantasy, dramatic light",Land
